Username,Retweets,Favourites,Post,Links,Date Posted
mrtaifane,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:32:57 SGT 2020,
JMatty22,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:32:54 SGT 2020,
ChrisLive215,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:32:47 SGT 2020,
guillermogg2050,603,3483,"Kobe Bryant coaching up GiGi’s team ?  

 https://t.co/nCSpRlq4Fk",Wed Feb 19 10:32:47 SGT 2020,
queenalesiaa,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:32:44 SGT 2020,
gehgunka,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:32:44 SGT 2020,
Potter1029,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:32:43 SGT 2020,
skol_717,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:32:41 SGT 2020,
Makaray23,221,920,"Just appreciating greatness. 

Air Jordan x Black Mamba. https://t.co/LlUDuyNx3Y",Wed Feb 19 10:32:40 SGT 2020,
jayyskywalker,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:32:39 SGT 2020,
_jesse24x,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:32:31 SGT 2020,
jumobi__,898,4648,"Legends come in pairs but we call them rivals 

Messi $ Ronaldo

Kobe Bryant $ Shaw O’Neil 

Roger Federer $ Rafael nadal 

Dwayne Johnson $ vin diesel 

Nicki Minaj $ Cardi B

Wizkid $ Davido 

Add yours",Wed Feb 19 10:32:21 SGT 2020,
PalmerChaplin,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:32:20 SGT 2020,
Maro_Breezy,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:32:17 SGT 2020,
gfulcher__,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:32:13 SGT 2020,
genteonline,0,0,El mensaje que le dedicó Vanessa Bryant a Kobe por San Valentín.     #VanessaBryant #KobeBryant #RevistaGente     https://t.co/JTUCreL2uk    29,Wed Feb 19 10:32:12 SGT 2020,
Soldevila32,495,1961,"17 years ago today, prime Kobe Bryant erupts for 52 points and posterizes Yao Ming with a baseline tomahawk jam.

It was his 6th consecutive game with at least 40 and his 10th straight with at least 35. https://t.co/WVaUouaXSL",Wed Feb 19 10:32:11 SGT 2020,
DontaeTheReal,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:32:06 SGT 2020,
mia18Sr,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:32:06 SGT 2020,
niknour,331,442,"Kobe Bryant. Abam Bocey. Ashraf Sinclairs.

I think 2020 is trying to tell us something.

To put things into perspective - while we are busy chasing our dreams, may we never forget to appreciate our loved ones.

Because tomorrow is not promised to us.",Wed Feb 19 10:32:05 SGT 2020,
moneymansell,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:32:05 SGT 2020,
FuzzyLumpking,219,950,"Custom, Kobe Bryant e Gianna Bryant no Símbolo da Jordan. https://t.co/EZ3ERF6Cot",Wed Feb 19 10:32:03 SGT 2020,
Uncle_ELLroy_,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:32:02 SGT 2020,
AusWoodard,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:31:59 SGT 2020,
NotoriousAtrain,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:31:56 SGT 2020,
leslielehner,1,1,"Tonight watching the boys basketball team made we want to cry. The hoodies in honor of Kobe Bryant! 
?? 
We talked about the Mamba Mentality at book club! The @RunStallions would have made Kobe proud tonight with that win! @GRHS_Stallions @grcollegiate #playoffs #stallionpride https://t.co/uALKzNmlHs",Wed Feb 19 10:31:56 SGT 2020,
BrashleyM,0,0,@torandtp One name. Kobe Bean Bryant #RIP enough said,Wed Feb 19 10:31:52 SGT 2020,
Nasty_greasyluv,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:31:48 SGT 2020,
BlincoeJavone,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:31:47 SGT 2020,
nrhwaa,331,442,"Kobe Bryant. Abam Bocey. Ashraf Sinclairs.

I think 2020 is trying to tell us something.

To put things into perspective - while we are busy chasing our dreams, may we never forget to appreciate our loved ones.

Because tomorrow is not promised to us.",Wed Feb 19 10:31:45 SGT 2020,
DekeHess,0,0,"1 hour left!
Check out 2019 20 DONRUSS KOBE BRYANT JERSEY SERIES GAME WORN JERSEY CARD LAKERS https://t.co/hpLFKeNg0k @eBay",Wed Feb 19 10:31:34 SGT 2020,
DreamCasaNova,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:31:33 SGT 2020,
oceanwinfrey,35203,86883,"Dr. Dre delivers an epic tribute to Kobe Bryant. 

? @GibsonHazard | @Jackson_Bannon https://t.co/o0Id018aEs",Wed Feb 19 10:31:28 SGT 2020,
Chanoscrew_,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:31:27 SGT 2020,
